id_plant,bird_sp,mean.sde.qtc,median.sde.qtc,mean.sde.qlc,median.sde.qlc,mean.rpe.qtc,median.rpe.qtc,mean.rpe.qlc,median.rpe.qlc,initcrop,area,median.sde.qlc.FR,median.sde.qlc.NF,median.sde.qlc.OA,median.sde.qlc.PP,median.sde.qlc.PL,mean.sde,median.sde,mean.rpe,median.rpe
301,Chloris chloris,1173.6702979132983,620.1294846093401,2.7537064575641394e-7,7.424631924372143e-8,1172.0190804818835,619.4634598554901,0.43967370014400003,0.44718962400000006,14325,19.68948,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,3.358352522131266e-4,4.9745742665023614e-5,515.7312830516448,267.4387983914033
301,Cyanistes caeruleus,14.77553980303854,7.932530747946323,0,0,14.77553980303854,7.932530747946323,0.5450523495604058,0.5598231816221054,14325,19.68948,0,0,0,0,0,0,0,8.070852041384565,4.2337053120007475
301,Erithacus rubecula,1766.1146976126915,1456.1424872891953,2.3409624575358772e-4,1.0826229658836457e-4,1766.1146976126915,1456.1424872891953,0.5450523495604058,0.5598231816221054,14325,19.68948,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.43286075370325416,0.1465256907433477,962.9068354171017,730.6898872646452
301,Hippolais polyglotta,5.20722283184335,2.7421430936088864,2.492095526057156e-4,9.851824719407412e-5,5.20722283184335,2.7421430936088864,0.5450523495604058,0.5598231816221054,14325,19.68948,3.5335786801027545e-6,6.309573388776336e-6,0,2.1032188198455543e-5,6.9936698010128305e-6,0.0012275487908802738,2.5208797532223976e-4,2.82800041910076,1.4757070795008131
301,Luscinia megarhynchos,13.172762010642678,6.745869647428416,2.5573807039965766e-4,1.01399246619639e-4,13.172762010642678,6.745869647428416,0.5450523495604058,0.5598231816221054,14325,19.68948,3.001608065358732e-6,4.119994126530376e-6,0,4.0258676097174326e-5,4.427483957505393e-6,0.0031573844557527,6.763840862151122e-4,7.122445816176315,3.5118237011183444
301,Phoenicurus phoenicurus,66.3413702822403,47.15727977103769,2.660834456231241e-4,1.0431280220987314e-4,66.3413702822403,47.15727977103769,0.5450523495604058,0.5598231816221054,14325,19.68948,3.86137354881587e-6,9.220035407437976e-6,0,4.622214429709822e-5,1.9984064832122217e-6,0.0173948577803931,0.0050453546446033205,35.65855146732227,24.715221082827988
301,Sylvia communis,138.757283629605,100.08686459271337,2.4280296176261662e-4,1.1238860546397973e-4,138.757283629605,100.08686459271337,0.5450523495604058,0.5598231816221054,14325,19.68948,5.958001204907687e-6,9.806126158029123e-6,0,2.592852233688879e-5,7.806060740705224e-6,0.03230305094176237,0.010314288209469637,75.34785362051136,53.22443031879991
301,Sylvia melanocephala,2910.2473058901287,2228.202129718571,2.758235053160828e-4,1.234546262037342e-4,2910.2473058901287,2228.202129718571,0.5450523495604058,0.5598231816221054,14325,19.68948,5.4679117484407735e-6,2.4530285005618512e-5,0,2.444248288171568e-5,5.8349836176086595e-6,0.7915411291312746,0.2832201937418908,1579.8409350290929,1159.8615484237584
301,Sylvia undata,199.20552316183756,143.18578724180082,3.1023000452786456e-4,1.1796638763767494e-4,199.20552316183756,143.18578724180082,0.5450523495604058,0.5598231816221054,14325,19.68948,4.264720650632002e-6,3.7338615169521145e-5,0,1.1752131705768699e-5,6.960167590785653e-6,0.06304620744661478,0.0176188757319221,107.3625524363966,77.43513441972178
301,Turdus merula,488.7624333600172,365.9361309774022,2.2983233764980215e-4,1.0925212553075656e-4,488.7624333600172,365.9361309774022,0.5450523495604058,0.5598231816221054,14325,19.68948,7.990508348082907e-6,1.4581724203665508e-5,0,1.9761164815777694e-5,7.056127288765181e-6,0.10889011659603519,0.036660109660741416,264.44512542563047,187.76317092076533
301,Turdus philomelos,17.917942228543012,9.026546549039011,2.331415613149388e-4,1.0233796033756132e-4,17.917942228543012,9.026546549039011,0.5450523495604058,0.5598231816221054,14325,19.68948,7.41198290368322e-6,1.1134932036377788e-5,0,1.911282803213395e-5,3.935950997045461e-6,0.003968115097126339,9.005455743013172e-4,9.650253561028325,4.693963171222395
302,Chloris chloris,1354.9887829441298,708.4432610949514,2.7537064575641394e-7,7.424631924372143e-8,1353.068940125372,707.2827896488088,0.4408917034620001,0.439344192,19750,28.93158,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,3.3075807273308855e-4,5.708122182994759e-5,602.2844475590671,308.9013005280731
302,Cyanistes caeruleus,21.59820328566026,13.367402715202811,0,0,21.59820328566026,13.367402715202811,0.6917421437082191,0.6887876841947369,19750,28.93158,0,0,0,0,0,0,0,14.918365685919941,8.585632187629905
302,Cyanopica cooki,207.0008706222739,141.69484691089474,2.5282150611017615e-4,1.075352023774347e-4,207.0008706222739,141.69484691089474,0.6917421437082191,0.6887876841947369,19750,28.93158,3.825737618488723e-6,7.265514988867261e-6,0,3.7774219391850425e-5,4.8160742432213985e-6,0.05224532816727246,0.014212194161098415,144.66506218749592,89.5542206190318
302,Erithacus rubecula,1213.4204200785823,997.4821330299301,2.3409624575358772e-4,1.0826229658836457e-4,1213.4204200785823,997.4821330299301,0.6917421437082191,0.6887876841947369,19750,28.93158,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.293903792562846,0.09833515547146238,832.4610639216079,635.5365003948671
302,Fringilla coelebs,29.87432790333564,18.105073203994312,3.61415675866866e-7,1.369457345338775e-7,29.83114682955051,18.083005117170735,0.4408917034620001,0.439344192,19750,28.93158,4.254221629727525e-9,7.036924196885696e-9,0,4.279549861035402e-8,8.467353240461628e-9,1.0367232539214583e-5,2.39714763887104e-6,13.067358618404977,7.721566055358796
302,Luscinia megarhynchos,205.12906687872245,123.41403034110847,2.5573807039965766e-4,1.01399246619639e-4,205.12906687872245,123.41403034110847,0.6917421437082191,0.6887876841947369,19750,28.93158,3.001608065358732e-6,4.119994126530376e-6,0,4.0258676097174326e-5,4.427483957505393e-6,0.05171422428485476,0.011808300040532705,140.35020272392998,81.31330436177566
302,Parus major,13.280327460477585,7.604446479802361,0,0,13.280327460477585,7.604446479802361,0.6917421437082191,0.6887876841947369,19750,28.93158,0,0,0,0,0,0,0,9.294920366749272,4.856144597326833
302,Phoenicurus phoenicurus,87.46755013815687,59.55305753341033,2.660834456231241e-4,1.0431280220987314e-4,87.46755013815687,59.55305753341033,0.6917421437082191,0.6887876841947369,19750,28.93158,3.86137354881587e-6,9.220035407437976e-6,0,4.622214429709822e-5,1.9984064832122217e-6,0.022465774602862303,0.00657155460272422,59.683799569458195,39.222527713346324
302,Saxicola rubicola,46.46377929246598,32.04722069276259,2.3114528910269457e-4,9.834626595560914e-5,46.46377929246598,32.04722069276259,0.6917421437082191,0.6887876841947369,19750,28.93158,3.3360479328332353e-6,4.099518623661712e-6,0,1.749351148600945e-5,1.5695273524308778e-5,0.010471525807328666,0.0030041715044237236,32.30380609275218,20.219266537841115
302,Sylvia atricapilla,331.63705542089855,248.09228605687144,2.512904107683327e-4,1.1212062119435121e-4,331.63705542089855,248.09228605687144,0.6917421437082191,0.6887876841947369,19750,28.93158,6.364816873633279e-6,1.5597238597194234e-5,0,2.558650084852908e-5,5.7631292142662625e-6,0.0824923662097228,0.02798569618425171,227.2250500253027,160.67303582859967
302,Sylvia hortensis,46.85406716048581,30.94127325711063,2.2135231715431224e-4,9.751978724161525e-5,46.85406716048581,30.94127325711063,0.6917421437082191,0.6887876841947369,19750,28.93158,6.603642976247119e-6,8.21356052428392e-6,0,1.4884290288933521e-5,1.0636776915591313e-5,0.010434450220018734,0.0030807720669429883,32.49530635144235,20.081843962749225
