date,bird_sp,no_fruits,visit_lenght_s,method,bodymass,bodymass.sd,gape_width,gape_width.sd,diet
2019-10-08,Turdus merula,1,68,full_plant,86.9,6.471801180994035,13.47,1.0136437659308748,SD
2019-10-08,Sylvia undata,5,146,full_plant,9.05,0.8488554385497895,5.61,0.1969207398365592,SD
2019-10-08,Sylvia melanocephala,3,111,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-08,Sylvia atricapilla,3,84,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-10-09,Phoenicurus phoenicurus,1,74,full_plant,15.842857142857143,1.4627236374518735,7.828571428571428,0.35176165756981487,SD
2019-10-09,Phoenicurus phoenicurus,1,71,full_plant,15.842857142857143,1.4627236374518735,7.828571428571428,0.35176165756981487,SD
2019-10-09,Sylvia atricapilla,1,121,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-10-09,Sylvia melanocephala,1,91,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-09,Chloris chloris,5,94,full_plant,23.4,NA,9,NA,SP
2019-10-09,Phoenicurus phoenicurus,2,35,full_plant,15.842857142857143,1.4627236374518735,7.828571428571428,0.35176165756981487,SD
2019-10-09,Sylvia melanocephala,2,59,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-15,Chloris chloris,4,41,full_plant,23.4,NA,9,NA,SP
2019-10-15,Sylvia melanocephala,2,224,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-15,Turdus merula,5,61,full_plant,86.9,6.471801180994035,13.47,1.0136437659308748,SD
2019-10-22,Chloris chloris,16,525,full_plant,23.4,NA,9,NA,SP
2019-10-22,Erithacus rubecula,2,82,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-22,Erithacus rubecula,1,41,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-23,Sylvia melanocephala,1,62,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Erithacus rubecula,1,79,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-23,Erithacus rubecula,1,114,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-23,Sylvia melanocephala,1,135,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Sylvia melanocephala,1,325,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Sylvia melanocephala,3,32,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Sylvia melanocephala,1,21,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Sylvia melanocephala,3,109,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Sylvia melanocephala,1,32,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Erithacus rubecula,2,104,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-23,Sylvia atricapilla,1,35,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-10-23,Turdus merula,1,91,full_plant,86.9,6.471801180994035,13.47,1.0136437659308748,SD
2019-10-23,Turdus philomelos,1,81,full_plant,66.985,4.584788923569352,12.1,0.37416573867739406,SD
2019-10-23,Sylvia melanocephala,2,204,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-23,Turdus merula,4,84,full_plant,86.9,6.471801180994035,13.47,1.0136437659308748,SD
2019-10-23,Chloris chloris,1,166,full_plant,23.4,NA,9,NA,SP
2019-10-24,Sylvia melanocephala,3,221,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-24,Sylvia atricapilla,5,231,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-10-24,Sylvia atricapilla,2,86,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-10-24,Sylvia melanocephala,3,100,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-24,Sylvia melanocephala,3,181,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-24,Sylvia atricapilla,6,158,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-10-24,Erithacus rubecula,3,75,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-24,Sylvia melanocephala,1,21,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-24,Erithacus rubecula,3,99,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-24,Sylvia melanocephala,2,79,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-24,Sylvia melanocephala,3,116,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-24,Sylvia melanocephala,2,88,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-10-24,Chloris chloris,8,80,full_plant,23.4,NA,9,NA,SP
2019-10-24,Erithacus rubecula,1,23,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-24,Chloris chloris,1,10,full_plant,23.4,NA,9,NA,SP
2019-10-24,Chloris chloris,22,214,full_plant,23.4,NA,9,NA,SP
2019-10-24,Erithacus rubecula,1,103,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-10-24,Sylvia atricapilla,1,33,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-10-24,Chloris chloris,72,809,full_plant,23.4,NA,9,NA,SP
2019-10-24,Sylvia atricapilla,2,135,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-11-05,Pyrrhula pyrrhula,2,15,full_plant,21.4,NA,9.4,NA,PC/SD
2019-11-05,Erithacus rubecula,2,141,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-05,Erithacus rubecula,1,72,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-05,Chloris chloris,1,120,full_plant,23.4,NA,9,NA,SP
2019-11-05,Erithacus rubecula,2,44,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-05,Sylvia atricapilla,1,26,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-11-06,Sylvia melanocephala,1,152,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Cyanistes caeruleus,2,78,full_plant,9.7,NA,5.1,NA,PC/SD
2019-11-06,Sylvia melanocephala,4,44,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Sylvia melanocephala,4,38,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Sylvia melanocephala,7,109,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Erithacus rubecula,1,19,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-06,Sylvia melanocephala,2,120,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Sylvia melanocephala,1,96,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Sylvia melanocephala,2,89,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Sylvia melanocephala,3,71,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Chloris chloris,1,7,full_plant,23.4,NA,9,NA,SP
2019-11-06,Sylvia melanocephala,6,87,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Sylvia melanocephala,3,56,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Sylvia melanocephala,3,168,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
